Company,Count
"Veros Credit, LLC",471
The Phoenix Recovery Group,469
Aspen Yo LLC,467
RANDOLPH-BROOKS FEDERAL CREDIT UNION,463
OLD NATIONAL BANCORP,460
"Simon's Agency, Inc.",459
Hillcrest Davidson & Associates,459
Movement Mortgage LLC,455
"Ava Finance, Inc",454
Northland Group Inc,453
"Platinum Holdings Group, LLC",453
Cottonwood Financial Ltd.,450
"Optio Solutions, LLC",449
"AMA Advisors, LLC.",448
Rosebud Economic Development Corporation,447
"Home Loan Center, Inc.",445
"CULLEN/FROST BANKERS, INC.",444
"The Best Service Co.,Inc",443
"Mandarich Law Group, LLP",438
MUFG AMERICAS HOLDINGS CORPORATION,434
"Direct Recovery Services, LLC",433
FCI Lender Services Inc.,432
Bonneville Billing and Collections,430
Financial Credit Network Inc,429
Rausch Sturm LLP,427
"Skrill USA, Inc.",425
"Dave Operating, LLC",423
"Peer Advisors, LLC",422
"LTD Financial Services, L.P.",422
"Meridian Financial Services, Inc.",419
EAST WEST BANK,419
"Merchants Adjustment Service, Inc.",419
"Berlin-Wheeler, Inc. (Kansas)",416
"National Collection Systems, Inc.",416
Concord Servicing Corporation,416
Patenaude & Felix A Professional Corporation,415
CIG FINANCIAL LLC,415
Payward Ventures Inc. dba Kraken,415
"COAST PROFESSIONAL, INC.",413
"Americas Car-Mart, Inc.",413
"Account Control Technology, Inc.",413
"Ria Envia, LLC",411
"Credit Central Holdings, LLC",410
"OLIPHANT FINANCIAL, LLC",409
AMERICAN ADVISORS GROUP,403
UMPQUA HOLDINGS CORPORATION,402
Medical Business Bureau,400
Credit Fresh Holdings Inc,399
"American Collections Enterprise, Inc.",397
Park Hill Holdings,395
"Kinum, Inc., Indianapolis, IN Branch",391
"Herbert P. Sears Co., Inc.",391
First Associates Loan Servicing LLC,389
USCB Corporation,388
Atlantic Recovery Solutions LLC,387
Patient Accounting Service Center,387
FourLeaf Federal Credit Union,385
FULTON FINANCIAL CORPORATION,384
CARD Corporation,383
Verisk Analytics Inc,382
"Avadyne Health Holdings, Inc",381
"Financial Recovery Services, Inc.",379
"SUN WEST MORTGAGE COMPANY, INC.",377
"American Profit Recovery, Inc., Marlborough, MA Branch",377
"PMAB,LLC",376
"Second Round Limited Partnership, Austin, TX Branch",375
"Applied Data Finance, LLC",375
"Persolve, LLC - Legal - Series 2",374
Clarity Services,372
Clark County Collection Service,372
"Stearns Ventures, LLC",372
"F.H. Cann & Associates, Inc.",368
"HUNTINGTON NATIONAL BANK, THE - FIRSTMERIT BANK, N.A. BRANCH",367
"Pacific Union Financial, LLC",367
"Mid-Atlantic Finance Co., Inc.",367
Hunt & Henriques,366
"Goal Structured Solutions, LLC",365
"Advanced Collection Bureau, Inc.",364
"Skopos Financial, LLC",364
Equitable Acceptance Corp,364
"TIDEWATER FINANCE COMPANY, INC.",363
"Altisource Portfolio Solutions, S.à r.l.",361
Sequoia Financial Services,361
Yamaha Motor Finance Corporation USA,361
"GULF COAST COLLECTION BUREAU, INC.",361
"Complete Credit Solutions, Inc.",359
"Transfinancial Companies, Inc",358
Holloway Credit Solutions,358
"Williams, Rush & Associates, LLC",358
Financial Data Systems,357
Southern Auto Finance Co,354
"Ideal Collection Services, Inc.",354
"Uplift, Inc",354
"Rozlin Financial Group, Inc.",353
Alliant Capital Management LLC,352
"Omega RMS, LLC",352
"Professional Bureau of Collections of Maryland, Inc., GREENWOOD VILLAGE, CO Branch",351
"Professional Credit Management, Inc",350
"U.S. Collections West, Inc.",350
"Webcollex, LLC",346
TRUSTMARK CORPORATION,345
Quality Asset Recovery LLC,342
Global Credit & Collection Corporation,342
TFS FINANCIAL CORPORATION,341
Fairway Independent Mortgage Corporation,338
"Express Recovery Services, Inc.",336
"A.R.M. Solutions, Inc.",336
"Better Mortgage, Inc.",336
"Select Management Resources, LLC",336
"HireRight Solutions, Inc.",336
Messerli & Kramer P.A.,336
Arbor Residential Mortgage LLC,333
Perfection Collection,333
2288984 Ontario Inc.,331
"Phillips & Cohen Associates, Ltd.",331
"North Shore Agency, LLC",331
Consumer Collection Management. Inc,330
Central Research Inc,329
"Elevate Recoveries, LLC",329
"Windham Professionals, Inc.",328
"Cascade Capital, LLC",327
"Mountain Run Solutions, LLC",325
"Collection Information Bureau, Inc.",325
"Fidelity National Financial, Inc",321
"D&A Services, LLC",321
Quality Loan Service Corporation,319
